KPI,Unit,Min,Max
flng_121a,flng_121,kB,0,
flng_122a,flng_122,kB,0,
flng_123a,flng_123,#,0,
flng_124a,flng_124,%,0,100
flng_125a,flng_125,#,0,
flng_126a,flng_126,%,0,100
flng_127a,flng_127,#,0,
flng_128a,flng_128,%,0,100
flng_129a,flng_129,#,0,
flng_130a,flng_130,%,0,100
flng_131a,flng_131,#,0,
flng_132a,flng_132,%,0,100
flng_133a,flng_133,#,0,
flng_134a,flng_134,%,0,100
flng_135a,flng_135,#,0,
flng_136a,flng_136,%,0,100
flng_137a,flng_137,#,0,
flng_138a,flng_138,%,0,100
flng_139a,flng_139,#,0,
flng_140a,flng_140,%,0,100
flng_141a,flng_141,#,0,
flng_142a,flng_142,%,0,100
flng_143a,flng_143,#,0,
flng_144a,flng_144,%,0,100
flng_145a,flng_145,#,0,
flng_146a,flng_146,%,0,100
flng_147a,flng_147,#,0,
flng_147b,flng_147,#,0,
flng_148a,flng_148,%,0,100
flng_148b,flng_148,%,0,100
flng_149a,flng_149,#,0,
flng_150a,flng_150,%,0,100
flng_151a,flng_151,#,0,
flng_152a,flng_152,%,0,100
flng_153a,flng_153,#,0,
flng_154a,flng_154,%,0,100
flng_155a,flng_155,#,0,
flng_156a,flng_156,%,0,100
flng_157a,flng_157,kB,0,
flng_158a,flng_158,kB,0,
flng_159a,flng_159,kB,0,
flng_160a,flng_160,MB,0,
flng_161a,flng_161,Mb/s,0,
flng_162a,flng_162,MB,0,
flng_163a,flng_163,Mb/s,0,
flng_164a,flng_164,MB,0,
flng_165a,flng_165,Mb/s,0,
flng_166a,flng_166,MB,0,
flng_166b,flng_166,MB,0,
flng_167a,flng_167,Mb/s,0,
flng_167b,flng_167,Mb/s,0,
flng_168a,flng_168,MB,0,
flng_168b,flng_168,MB,0,
flng_169a,flng_169,Mb/s,0,
flng_169b,flng_169,Mb/s,0,
flng_170a,flng_170,MB,0,
flng_170b,flng_170,MB,0,
flng_5000b,flng_5000,Mb/s,0,
flng_172a,flng_172,%,0,100
flng_173a,flng_173,%,0,100
flng_174a,flng_174,%,0,100
flng_175a,flng_175,%,0,100
flng_176a,flng_176,%,0,100
flng_177a,flng_177,%,0,100
flng_178a,flng_178,%,0,100
flng_179a,flng_179,%,0,100
flng_180a,flng_180,%,0,100
flng_181a,flng_181,%,0,100
flng_182a,flng_182,%,0,100
flng_183a,flng_183,%,0,100
flng_184a,flng_184,%,0,100
flng_184b,flng_184,%,0,100
flng_185a,flng_185,%,0,100
flng_185b,flng_185,%,0,100
flng_186a,flng_186,%,0,100
flng_186b,flng_186,%,0,100
flng_187a,flng_187,%,0,100
flng_187b,flng_187,%,0,100
flng_188a,flng_188,%,0,100
flng_188b,flng_188,%,0,100
flng_189a,flng_189,%,0,100
flng_189b,flng_189,%,0,100
flng_190a,flng_190,%,0,100
flng_190b,flng_190,%,0,100
flng_191a,flng_191,%,0,100
flng_191b,flng_191,%,0,100
flng_192a,flng_192,MB,0,
flng_194a,flng_194,MB,0,
flng_196a,flng_196,MB,0,
flng_198a,flng_198,MB,0,
flng_200a,flng_200,#,0,
flng_200b,flng_200,#,0,
flng_201a,flng_201,#,0,
flng_201b,flng_201,#,0,
flng_202a,flng_202,#,0,
flng_202b,flng_202,#,0,
flng_203a,flng_203,MB,0,
flng_204a,flng_204,MB,0,
flng_205a,flng_205,MB,0,
flng_206a,flng_206,#,0,
flng_207a,flng_207,#,0,
flng_208a,flng_208,#,0,
flng_209a,flng_209,MB,0,
flng_210a,flng_210,MB,0,
flng_211a,flng_211,MB,0,
flng_212a,flng_212,%,0,100
flng_213a,flng_213,%,0,100
flng_214a,flng_214,#,0,
flng_215a,flng_215,#,0,
flng_216a,flng_216,#,0,
flng_217a,flng_217,#,0,
flng_217b,flng_217,#,0,
flng_218a,flng_218,#,0,
flng_218b,flng_218,#,0,
flng_218c,flng_218,#,0,
flng_218d,flng_218,#,0,
flng_220a,flng_220,%,0,100
flng_220b,flng_220,%,0,100
flng_221a,flng_221,%,0,100
