KPI,Unit
flng_196a,MB
flng_198a,MB
flng_200a,#
flng_200b,#
flng_201a,#
flng_201b,#
flng_202a,#
flng_202b,#
flng_203a,MB
flng_204a,MB
flng_205a,MB
flng_206a,#
flng_207a,#
flng_208a,#
flng_209a,MB
flng_210a,MB
flng_211a,MB
flng_212a,%
flng_213a,%
flng_214a,#
flng_215a,#
flng_216a,#
flng_217a,#
flng_217b,#
flng_218a,#
flng_218b,#
flng_218c,#
flng_218d,#
flng_220a,%
flng_220b,%
flng_221a,%
flng_221b,%
flng_222a,%
flng_222b,%
flng_223a,%
flng_223b,%
flng_224a,%
flng_224b,%
flng_225a,%
flng_225b,%
flng_226a,%
flng_226b,%
flng_226c,%
flng_226d,%
flng_227a,%
flng_227b,%
flng_227c,%
flng_227d,%
flng_228a,%
flng_228b,%
flng_228c,%
flng_228d,%
flng_229a,%
flng_229b,%
flng_229c,%
flng_229d,%
flng_230a,%
flng_230b,%
flng_231a,%
flng_231b,%
flng_232a,%
flng_232b,%
flng_233a,%
flng_233b,%
flng_234a,#
flng_235a,#
flng_236a,#
flng_237a,#
flng_242a,#
flng_242b,#
flng_243a,#
flng_243b,#
flng_244a,%
flng_244b,%
flng_245a,#
flng_245b,#
flng_250a,#
flng_250b,#
flng_250c,#
flng_251a,%
flng_251b,%
flng_251c,%
flng_252a,#
flng_252b,#
flng_253a,%
flng_253b,%
flng_256a,#
flng_256b,#
flng_257a,%
flng_257b,%
flng_258a,MB
flng_259a,MB
flng_260a,MB
flng_261a,MB
flng_262a,MB
flng_263a,MB
flng_5016f,%
flng_265a,#
flng_266a,%
flng_267a,#
flng_268a,%
flng_269a,#
flng_270a,%
flng_271a,#
flng_272a,%
flng_273a,#
flng_274a,%
flng_275a,#
flng_276a,%
flng_277a,#
flng_278a,%
flng_279a,#
flng_280a,%
flng_281a,kB
flng_282a,kB
flng_283a,kB
flng_284a,MB
flng_284b,MB
flng_284c,MB
flng_285a,MB
flng_285b,MB
flng_285c,MB
flng_286a,MB
flng_286b,MB
flng_286c,MB
flng_287a,MB
flng_287b,MB
flng_287c,MB
flng_288a,MB
flng_288b,MB
flng_288c,MB
flng_289a,MB
flng_289b,MB
flng_289c,MB
flng_290a,%
flng_291a,%
flng_292a,MB
flng_292b,MB
flng_293a,MB
flng_294a,#
flng_294b,#
flng_295a,#
flng_296a,%
flng_296b,%
flng_297a,%
flng_298a,%
flng_298b,%
flng_299a,%
flng_300a,Mbps
flng_300b,Mbps
flng_5017b,%
flng_302a,#
flng_302b,#
flng_303a,%
flng_303b,%
flng_304a,#
flng_305a,%
flng_306a,#
flng_306b,#
flng_307a,%
flng_307b,%
flng_308a,#
flng_309a,%
flng_310a,#
flng_311a,MB
flng_312a,MB
flng_313a,MB
flng_314a,MB
flng_315a,MB
flng_316a,MB
flng_317a,MB
flng_318a,MB
flng_319a,MB
flng_320a,MB
flng_321a,MB
flng_322a,MB
flng_323a,MB
flng_324a,MB
flng_325a,MB
flng_326a,MB
flng_327a,MB
flng_328a,MB
flng_329a,MB
flng_330a,MB
flng_331a,#
flng_331b,#
flng_332a,#
flng_332b,#
flng_333a,#
flng_333b,#
flng_334a,#
flng_334b,#
flng_335a,#
flng_335b,#
flng_336a,#
flng_336b,#
flng_337a,%
flng_338a,%
flng_339a,%
flng_340a,%
flng_341a,%
flng_342a,%
flng_343a,%
flng_344a,#
flng_345a,%
flng_346a,#
flng_347a,#
flng_348a,%
flng_349a,#
flng_350a,%
flng_351a,#
flng_352a,%
flng_353a,#
flng_354a,%
flng_355a,#
flng_356a,%
flng_357a,#
flng_358a,%
flng_359a,#
flng_360a,%
flng_361a,Mbps
flng_362a,Mbps
flng_363a,Mbps
flng_364a,Mbps
flng_365a,Mbps
flng_366a,Mbps
flng_367a,Mbps
flng_368a,Mbps
flng_369a,Mbps
flng_370a,Mbps
flng_371a,Mbps
flng_372a,#
flng_373a,%
flng_374a,#
flng_375a,%
flng_376a,#
