KPI,Unit,Min,Max
RNC_94c,%,0,100
RNC_79b,%,0,100
RNC_192b,%,0,100
RNC_195a,%,0,100
flng_100a,#,0,
flng_101a,%,0,100
flng_102a,#,0,
flng_103a,%,0,100
flng_104a,#,0,
flng_105a,%,0,100
flng_106a,#,0,
flng_107a,%,0,100
flng_108a,#,0,
flng_109a,%,0,100
flng_110a,#,0,
flng_111a,%,0,100
flng_112a,#,0,
flng_113a,%,0,100
flng_114a,#,0,
flng_115a,#,0,
flng_116a,#,0,
flng_117a,%,0,100
flng_118a,#,0,
flng_119a,#,0,
flng_120a,kB,0,
flng_121a,kB,0,
flng_122a,kB,0,
flng_123a,#,0,
flng_124a,%,0,100
flng_125a,#,0,
flng_126a,%,0,100
flng_127a,#,0,
flng_128a,%,0,100
flng_129a,#,0,
flng_130a,%,0,100
flng_131a,#,0,
flng_132a,%,0,100
flng_133a,#,0,
flng_134a,%,0,100
flng_135a,#,0,
flng_136a,%,0,100
flng_137a,#,0,
flng_138a,%,0,100
flng_139a,#,0,
flng_140a,%,0,100
flng_141a,#,0,
flng_142a,%,0,100
flng_143a,#,0,
flng_144a,%,0,100
flng_145a,#,0,
flng_146a,%,0,100
flng_147a,#,0,
flng_147b,#,0,
flng_148a,%,0,100
flng_148b,%,0,100
flng_149a,#,0,
flng_150a,%,0,100
flng_151a,#,0,
flng_152a,%,0,100
flng_153a,#,0,
flng_154a,%,0,100
flng_155a,#,0,
flng_156a,%,0,100
flng_157a,kB,0,
flng_158a,kB,0,
flng_159a,kB,0,
flng_160a,MB,0,
flng_161a,Mb/s,0,
flng_162a,MB,0,
flng_163a,Mb/s,0,
flng_164a,MB,0,
flng_165a,Mb/s,0,
flng_166a,MB,0,
flng_166b,MB,0,
flng_167a,Mb/s,0,
flng_167b,Mb/s,0,
flng_168a,MB,0,
flng_168b,MB,0,
flng_169a,Mb/s,0,
flng_169b,Mb/s,0,
flng_170a,MB,0,
flng_170b,MB,0,
flng_5000b,Mb/s,0,
flng_172a,%,0,100
flng_173a,%,0,100
flng_174a,%,0,100
flng_175a,%,0,100
flng_176a,%,0,100
flng_177a,%,0,100
flng_178a,%,0,100
flng_179a,%,0,100
flng_180a,%,0,100
flng_181a,%,0,100
flng_182a,%,0,100
flng_183a,%,0,100
flng_184a,%,0,100
flng_184b,%,0,100
flng_185a,%,0,100
flng_185b,%,0,100
flng_186a,%,0,100
flng_186b,%,0,100
flng_187a,%,0,100
flng_187b,%,0,100
flng_188a,%,0,100
flng_188b,%,0,100
flng_189a,%,0,100
flng_189b,%,0,100
flng_190a,%,0,100
flng_190b,%,0,100
flng_191a,%,0,100
flng_191b,%,0,100
flng_192a,MB,0,
flng_194a,MB,0,
flng_196a,MB,0,
flng_198a,MB,0,
flng_200a,#,0,
flng_200b,#,0,
flng_201a,#,0,
flng_201b,#,0,
flng_202a,#,0,
flng_202b,#,0,
flng_203a,MB,0,
flng_204a,MB,0,
flng_205a,MB,0,
flng_206a,#,0,
flng_207a,#,0,
flng_208a,#,0,
flng_209a,MB,0,
flng_210a,MB,0,
flng_211a,MB,0,
flng_212a,%,0,100
flng_213a,%,0,100
flng_214a,#,0,
flng_215a,#,0,
flng_216a,#,0,
flng_217a,#,0,
flng_217b,#,0,
flng_218a,#,0,
flng_218b,#,0,
flng_218c,#,0,
flng_218d,#,0,
flng_220a,%,0,100
flng_220b,%,0,100
flng_221a,%,0,100
flng_221b,%,0,100
flng_222a,%,0,100
flng_222b,%,0,100
flng_223a,%,0,100
flng_223b,%,0,100
flng_224a,%,0,100
flng_224b,%,0,100
flng_225a,%,0,100
flng_225b,%,0,100
flng_226a,%,0,100
flng_226b,%,0,100
flng_226c,%,0,100
flng_226d,%,0,100
flng_227a,%,0,100
flng_227b,%,0,100
flng_227c,%,0,100
flng_227d,%,0,100
flng_228a,%,0,100
flng_228b,%,0,100
flng_228c,%,0,100
flng_228d,%,0,100
flng_229a,%,0,100
flng_229b,%,0,100
flng_229c,%,0,100
flng_229d,%,0,100
flng_230a,%,0,100
flng_230b,%,0,100
flng_231a,%,0,100
flng_231b,%,0,100
flng_232a,%,0,100
flng_232b,%,0,100
flng_233a,%,0,100
flng_233b,%,0,100
flng_234a,#,0,
flng_235a,#,0,
flng_236a,#,0,
flng_237a,#,0,
flng_242a,#,0,
flng_242b,#,0,
flng_243a,#,0,
flng_243b,#,0,
flng_244a,%,0,100
flng_244b,%,0,100
flng_245a,#,0,
flng_245b,#,0,
flng_250a,#,0,
flng_250b,#,0,
flng_250c,#,0,
flng_251a,%,0,100
flng_251b,%,0,100
flng_251c,%,0,100
flng_252a,#,0,
flng_252b,#,0,
flng_253a,%,0,100
flng_253b,%,0,100
flng_256a,#,0,
flng_256b,#,0,
flng_257a,%,0,100
flng_257b,%,0,100
flng_258a,MB,0,
flng_259a,MB,0,
flng_260a,MB,0,
flng_261a,MB,0,
flng_262a,MB,0,
flng_263a,MB,0,
flng_5016f,%,0,100
flng_265a,#,0,
flng_266a,%,0,100
flng_267a,#,0,
flng_268a,%,0,100
flng_269a,#,0,
flng_270a,%,0,100
flng_271a,#,0,
flng_272a,%,0,100
flng_273a,#,0,
flng_274a,%,0,100
flng_275a,#,0,
flng_276a,%,0,100
flng_277a,#,0,
flng_278a,%,0,100
flng_279a,#,0,
flng_280a,%,0,100
flng_281a,kB,0,
flng_282a,kB,0,
flng_283a,kB,0,
flng_284a,MB,0,
flng_284b,MB,0,
flng_284c,MB,0,
flng_285a,MB,0,
flng_285b,MB,0,
flng_285c,MB,0,
flng_286a,MB,0,
flng_286b,MB,0,
flng_286c,MB,0,
flng_287a,MB,0,
flng_287b,MB,0,
flng_287c,MB,0,
flng_288a,MB,0,
flng_288b,MB,0,
flng_288c,MB,0,
flng_289a,MB,0,
flng_289b,MB,0,
flng_289c,MB,0,
flng_290a,%,0,100
flng_291a,%,0,100
flng_292a,MB,0,
flng_292b,MB,0,
flng_293a,MB,0,
flng_294a,#,0,
flng_294b,#,0,
flng_295a,#,0,
flng_296a,%,0,100
flng_296b,%,0,100
flng_297a,%,0,100
flng_298a,%,0,100
flng_298b,%,0,100
flng_299a,%,0,100
flng_300a,Mb/s,0,
flng_300b,Mb/s,0,
flng_5017b,%,0,100
flng_302a,#,0,
flng_302b,#,0,
flng_303a,%,0,100
flng_303b,%,0,100
flng_304a,#,0,
flng_305a,%,0,100
flng_306a,#,0,
flng_306b,#,0,
flng_307a,%,0,100
flng_307b,%,0,100
flng_308a,#,0,
flng_309a,%,0,100
flng_310a,#,0,
flng_311a,MB,0,
flng_312a,MB,0,
flng_313a,MB,0,
flng_314a,MB,0,
flng_315a,MB,0,
flng_316a,MB,0,
flng_317a,MB,0,
flng_318a,MB,0,
flng_319a,MB,0,
flng_320a,MB,0,
flng_321a,MB,0,
flng_322a,MB,0,
flng_323a,MB,0,
flng_324a,MB,0,
flng_325a,MB,0,
flng_326a,MB,0,
flng_327a,MB,0,
flng_328a,MB,0,
flng_329a,MB,0,
flng_330a,MB,0,
flng_331a,#,0,
flng_331b,#,0,
flng_332a,#,0,
flng_332b,#,0,
flng_333a,#,0,
flng_333b,#,0,
flng_334a,#,0,
flng_334b,#,0,
flng_335a,#,0,
flng_335b,#,0,
flng_336a,#,0,
